sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
186132,https://sofifa.com/player/186132/danny-drinkwater/15/157759,D. Drinkwater,Danny Drinkwater,24,1990-03-05,178,70,England,Leicester City,70,74,0,0,CM,Right,1,4,3,Medium/Medium,Normal,No,,,SUB,4.0,,2012-01-01,2018.0,,,70.0,64.0,67.0,70.0,60.0,69.0,,,,,,,Playmaker (CPU AI Only),52,60,53,75,54,68,65,42,73+1,72+1,68,71-1,70-1,69,74,74+8,56,79-3,66+2,68+10,67+8,60+2,67,71+1,51,,57,64,61,11,5,7,8,11,65+0,65+0,65+0,67+0,68+0,68+0,68+0,67+0,70+0,70+0,70+0,68+0,70+0,70+0,70+0,68+0,66+0,68+0,68+0,68+0,66+0,64+0,62+0,62+0,62+0,64+0
201093,https://sofifa.com/player/201093/nick-powell/15/157759,N. Powell,Nick Powell,20,1994-03-23,183,65,England,Leicester City,69,79,0,0,"CAM, ST",Right,1,3,2,Medium/Medium,Lean,No,,,SUB,16.0,Manchester United,,2015.0,,,75.0,70.0,62.0,68.0,36.0,63.0,,,,,,,"Selfish, Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only)",54,70,57,66,58,69,53,54,61,68,77,74,61,70,74,69,68,66,62,75,58,35,70,69,63,,30,38,30,14,12,6,13,11,68+0,68+0,68+0,67+0,70+0,70+0,70+0,67+0,69+0,69+0,69+0,66+0,63+0,63+0,63+0,66+0,53+0,55+0,55+0,55+0,53+0,50+0,47+0,47+0,47+0,50+0
200758,https://sofifa.com/player/200758/liam-moore/15/157759,L. Moore,Liam Moore,21,1993-01-31,185,86,England,Leicester City,69,77,0,0,"CB, RB",Right,1,3,2,Medium/Medium,Normal,No,,,LCB,18.0,,2010-01-01,2017.0,,,74.0,33.0,49.0,56.0,68.0,74.0,,,,,,,Long Throw-in,57+3,25,71,57,33,52-1,36,23,41,58-2,70,77+3,59,70,66,54+5,74,70,75,31,74+5,69,36,44,25,,66+2,68+2,69+8,7,8,6,7,9,50+0,50+0,50+0,54+0,50+0,50+0,50+0,54+0,50+0,50+0,50+0,56+0,53+0,53+0,53+0,56+0,64+0,62+0,62+0,62+0,64+0,67+0,69+0,69+0,69+0,67+0
192123,https://sofifa.com/player/192123/chris-wood/15/157759,C. Wood,Chris Wood,22,1991-12-07,191,95,New Zealand,Leicester City,69,74,0,0,ST,Right,1,3,3,Medium/Medium,Normal,No,,,SUB,39.0,,2013-01-01,2016.0,ST,20.0,63.0,72.0,52.0,63.0,36.0,71.0,,,,,,,,40,73-2,72,63,61,64-3,62,47,47,66-2,61-3,65-2,59,67,45,73-2,67,64,76,72,69,39,71-4,46,71,,31,29,28,13,15,15,6,15,69+0,69+0,69+0,61+0,68+0,68+0,68+0,61+0,63+0,63+0,63+0,58+0,57+0,57+0,57+0,58+0,49+0,52+0,52+0,52+0,49+0,48+0,49+0,49+0,49+0,48+0
204485,https://sofifa.com/player/204485/riyad-mahrez/15/157759,R. Mahrez,Riyad Mahrez,23,1991-02-21,179,62,Algeria,Leicester City,69,74,0,0,"RM, LM",Left,1,4,3,Medium/Medium,Lean,No,,,RM,26.0,,2014-01-11,2017.0,,,83.0,63.0,63.0,74.0,27.0,55.0,,,,,,,Technical Dribbler (CPU AI Only),61+8,62,44,70+1,50,76+1,39,47,52+1,69+4,82+5,83,87,55,79-3,74-2,55,74,57+25,61,25,25,68,69,51,,25,25,25,14,8,12,10,5,64+0,64+0,64+0,70+0,67+0,67+0,67+0,70+0,69+0,69+0,69+0,69+0,60+0,60+0,60+0,69+0,52+0,49+0,49+0,49+0,52+0,44+0,37+0,37+0,37+0,44+0
175932,https://sofifa.com/player/175932/ritchie-de-laet/15/157759,R. De Laet,Ritchie De Laet,25,1988-11-28,186,77,Belgium,Leicester City,69,72,0,0,"RB, RWB",Right,1,4,2,High/Medium,Lean,No,,,RB,2.0,,2012-05-01,2015.0,,,87.0,42.0,54.0,66.0,70.0,72.0,,,,,,,Speed Dribbler (CPU AI Only),67,37,67,56,23,67+1,27,32,49,66-1,88,86,64,68,57,60,74,69,73,41,74,73+9,57,53,23,,67,71+2,70+2,12,13,13,11,12,58+0,58+0,58+0,64+0,59+0,59+0,59+0,64+0,59+0,59+0,59+0,64+0,60+0,60+0,60+0,64+0,68+0,64+0,64+0,64+0,68+0,69+0,69+0,69+0,69+0,69+0
208830,https://sofifa.com/player/208830/jamie-vardy/15/157759,J. Vardy,Jamie Vardy,27,1987-01-11,178,76,England,Leicester City,69,71,0,0,ST,Right,1,3,3,High/High,Lean,No,,,SUB,9.0,,2012-05-01,2018.0,,,85.0,69.0,55.0,70.0,39.0,71.0,,,,,,,Beat Offside Trap,57,71+1,56,55+3,62,72+3,49,47,47,68+1,83+2,86+2,69+7,69,55,70-2,49,83+4,64,65+2,78,40+18,68-2,61-1,63,,37+12,38+13,27+2,14,13,6,14,10,69+0,69+0,69+0,67+0,68+0,68+0,68+0,67+0,66+0,66+0,66+0,66+0,60+0,60+0,60+0,66+0,55+0,55+0,55+0,55+0,55+0,53+0,48+0,48+0,48+0,53+0
186139,https://sofifa.com/player/186139/matty-james/15/157759,M. James,Matty James,22,1991-07-22,178,73,England,Leicester City,68,73,0,0,CM,Right,1,4,3,Medium/Medium,Normal,No,,,RES,8.0,,2012-05-01,2018.0,,,70.0,59.0,68.0,68.0,64.0,71.0,,,,,,,,65,58,62,73,43,68,66,61,69,70-1,69,70,63,64,71,71,67,83,68,57,63,62,61,66,51,,66,63,66,6,9,14,7,13,63+0,63+0,63+0,66+0,65+0,65+0,65+0,66+0,66+0,66+0,66+0,68+0,68+0,68+0,68+0,68+0,68+0,68+0,68+0,68+0,68+0,67+0,65+0,65+0,65+0,67+0
186578,https://sofifa.com/player/186578/andy-king/15/157759,A. King,Andy King,25,1988-10-29,183,74,Wales,Leicester City,68,72,0,0,"CM, CAM",Right,1,3,2,High/Medium,Lean,No,,,RCM,10.0,,2005-01-01,2015.0,LDM,8.0,68.0,70.0,67.0,69.0,59.0,68.0,,,,,,,,60,70,70,71,68,68,62,58,69,69-1,69,68,71,70,65,72,73,73,72,69,50,53,71,69,62,,55,63,59,7,5,6,9,5,70+0,70+0,70+0,68+0,70+0,70+0,70+0,68+0,70+0,70+0,70+0,68+0,68+0,68+0,68+0,68+0,64+0,65+0,65+0,65+0,64+0,63+0,62+0,62+0,62+0,63+0
51417,https://sofifa.com/player/51417/paul-konchesky/15/157759,P. Konchesky,Paul  Konchesky,33,1981-05-15,178,69,England,Leicester City,68,68,0,0,LB,Left,2,3,2,Medium/Medium,Lean,No,,,LB,3.0,,2011-07-01,2015.0,,,63.0,50.0,64.0,61.0,69.0,71.0,,,,,,,Early Crosser,69,35,63,62,46,58,62,67,67,60-2,61-6,64-3,69,67,69,70,76,66,69,61,79,71-1,57,58,48,,68-1,70-4,73-2,15,13,13,9,13,56+0,56+0,56+0,61+0,59+0,59+0,59+0,61+0,60+0,60+0,60+0,63+0,63+0,63+0,63+0,63+0,67+0,67+0,67+0,67+0,67+0,68+0,69+0,69+0,69+0,68+0
19524,https://sofifa.com/player/19524/gary-taylor-fletcher/15/157759,G. Taylor-Fletcher,Gary Taylor-Fletcher,33,1981-06-04,183,70,England,Leicester City,67,67,0,0,"ST, RW",Right,1,2,3,Medium/Medium,Stocky,No,,,RES,22.0,,2013-09-20,2015.0,,,54.0,69.0,70.0,69.0,41.0,69.0,,,,,,,,72,68,67-4,70-2,62,71-1,57,68,68,73,47-11,60-1,58+7,61-5,64,73,52,68,72,70-1,68,26,67,72+1,71,,32,51-6,43,7,6,7,8,8,67+0,67+0,67+0,68+0,68+0,68+0,68+0,68+0,68+0,68+0,68+0,68+0,65+0,65+0,65+0,68+0,56+0,58+0,58+0,58+0,56+0,54+0,53+0,53+0,53+0,54+0
120018,https://sofifa.com/player/120018/dean-hammond/15/157759,D. Hammond,Dean Hammond,31,1983-03-07,183,74,England,Leicester City,67,67,0,0,"CM, CDM",Right,1,3,2,Medium/High,Normal,No,,,LCM,7.0,,2013-08-30,2015.0,,,52.0,59.0,64.0,64.0,60.0,72.0,,,,,,,Dives Into Tackles (CPU AI Only),51,60,55+3,73,47,61,51,62,63+1,68-3,53,52,62-1,76,62,61,66+5,79-5,70-1,63,68,64+2,53,68,49,,52,65,64+1,7,10,14,14,9,60+0,60+0,60+0,61+0,62+0,62+0,62+0,61+0,65+0,65+0,65+0,63+0,67+0,67+0,67+0,63+0,64+0,67+0,67+0,67+0,64+0,64+0,64+0,64+0,64+0,64+0
170008,https://sofifa.com/player/170008/ben-hamer/15/157759,B. Hamer,Ben Hamer,26,1987-11-20,193,78,England,Leicester City,65,70,0,0,GK,Right,1,3,1,Medium/Medium,Lean,No,,,SUB,12.0,,2014-07-01,2018.0,,,,,,,,,69.0,63.0,65.0,66.0,47.0,63.0,,25,25,25,24,25,25,25,25,29,22,49,45,51,59,56,30,54,35,64,25,33,22,25,25,21,,25,25,25,69,63,65,63,66,,,,,,,,,,,,,,,,,,,,,,,,,,
200759,https://sofifa.com/player/200759/jeffrey-schlupp/15/157759,J. Schlupp,Jeffrey Schlupp,21,1992-12-23,178,72,Ghana,Leicester City,63,73,0,0,"LB, LM",Left,1,2,2,Medium/Medium,Normal,No,,,LM,15.0,,2010-01-01,2017.0,,,85.0,58.0,58.0,72.0,62.0,66.0,,,,,,,,58,55-10,61-1,63+10,60-2,73+5,61+11,33,52+7,68+5,84+2,86,79-1,67+11,78+7,67,72+12,66,70,52-3,55+9,59+7,62,60+16,67,,62+11,64+7,60+10,8,6,7,9,8,65+0,65+0,65+0,67+0,65+0,65+0,65+0,67+0,65+0,65+0,65+0,66+0,62+0,62+0,62+0,66+0,65+0,62+0,62+0,62+0,65+0,63+0,63+0,63+0,63+0,63+0
179757,https://sofifa.com/player/179757/zoumana-bakayogo/15/157759,Z. Bakayogo,Zoumana Bakayogo,27,1986-08-11,183,73,Ivory Coast,Leicester City,61,61,0,0,"LB, LM",Left,1,3,2,High/Medium,Normal,No,,,RES,21.0,,2013-07-22,2015.0,,,86.0,39.0,56.0,61.0,57.0,73.0,,,,,,,,59,32,42,58,34,59,38,41,62,61-1,91,82,70,61,66,44,81,74,74,45,68,57,58,52,34,,59,59,59,6,14,14,5,5,52+0,52+0,52+0,61+0,54+0,54+0,54+0,61+0,57+0,57+0,57+0,63+0,59+0,59+0,59+0,63+0,62+0,61+0,61+0,61+0,62+0,61+0,60+0,60+0,60+0,61+0
224416,https://sofifa.com/player/224416/simonas-stankevicius/15/157759,S. Stankevičius,Simonas Stankevičius,18,1995-10-03,185,78,Lithuania,Leicester City,58,69,0,0,ST,Right,1,3,2,Medium/Medium,Normal,No,,,RES,55.0,,2014-07-01,2015.0,,,59.0,58.0,39.0,53.0,30.0,63.0,,,,,,,,36,61,60,43,57,53,37,29,37,56,54,63,46,57,54,60,69,61,64,50,63,25,59,40,62,,29,26,28,8,7,10,6,7,58+0,58+0,58+0,50+0,55+0,55+0,55+0,50+0,51+0,51+0,51+0,49+0,45+0,45+0,45+0,49+0,41+0,42+0,42+0,42+0,41+0,42+0,42+0,42+0,42+0,42+0
219172,https://sofifa.com/player/219172/michael-cain/15/157759,M. Cain,Michael Cain,20,1994-02-18,182,67,England,Leicester City,58,68,0,0,"CM, CAM",Right,1,3,2,Medium/Medium,Normal,No,,,RES,33.0,,2011-09-21,2015.0,,,68.0,56.0,59.0,64.0,44.0,50.0,,,,,,,,47,58,44,64,39,66-1,65,66,61,62+1,69,68,56,57+9,71,60,56,64+20,45,56,43,42+18,49,55,45,,41,47,52,8,15,14,11,14,56+0,56+0,56+0,59+0,58+0,58+0,58+0,59+0,59+0,59+0,59+0,59+0,58+0,58+0,58+0,59+0,54+0,53+0,53+0,53+0,54+0,51+0,48+0,48+0,48+0,51+0
211513,https://sofifa.com/player/211513/tom-lawrence/15/157759,T. Lawrence,Tom Lawrence,20,1994-01-13,175,75,Wales,Leicester City,58,63,0,0,"LM, ST",Right,1,3,2,Medium/Medium,Lean,No,,,RES,25.0,,2014-09-02,2018.0,,,64.0,60.0,54.0,58.0,35.0,49.0,,,,,,,,54+8,61,55,62+3,42,59,36,34,48+5,57,71+5,58-1,50,57+2,65,70,63,64+11,48-27,52,31,25,62+2,56+2,61,,36,34,32,9,6,12,12,6,59+0,59+0,59+0,58+0,60+0,60+0,60+0,58+0,59+0,59+0,59+0,58+0,53+0,53+0,53+0,58+0,48+0,47+0,47+0,47+0,48+0,44+0,41+0,41+0,41+0,44+0
211792,https://sofifa.com/player/211792/james-pearson/15/157759,J. Pearson,James Pearson,21,1993-01-19,186,75,England,Leicester City,58,62,0,0,"RB, CB",Right,1,3,2,Medium/Medium,Normal,No,,,RES,30.0,,2012-09-01,2015.0,,,62.0,30.0,42.0,47.0,60.0,61.0,,,,,,,,37+6,26,62+11,52+20,23,43+14,34+3,31,41+19,51+22,62-1,62+9,47,56+9,54,40,71,71+8,58,25,54+6,59+5,42+17,36+4,35,,54+8,64+8,61+11,9,11,10,9,7,43+0,43+0,43+0,45+0,44+0,44+0,44+0,45+0,44+0,44+0,44+0,48+0,48+0,48+0,48+0,48+0,55+0,54+0,54+0,54+0,55+0,58+0,59+0,59+0,59+0,58+0
203316,https://sofifa.com/player/203316/adam-smith/15/157759,A. Smith,Adam Smith,21,1992-11-23,180,76,England,Leicester City,58,61,0,0,GK,Right,1,2,1,Medium/Medium,Normal,No,,,SUB,31.0,,2011-03-01,2015.0,,,,,,,,,56.0,55.0,57.0,65.0,22.0,57.0,,25,25,25,23,25,25,25,25,21,23,24,20,35,56,32,24,45,28,25,25,25,25,25,25,22,,25,25,25,56,55,57,57,65,,,,,,,,,,,,,,,,,,,,,,,,,,
213698,https://sofifa.com/player/213698/jack-barmby/15/157759,J. Barmby,Jack Barmby,19,1994-11-14,178,74,England,Leicester City,57,69,0,0,"CF, CAM",Left,1,3,3,High/Medium,Normal,No,,,RES,29.0,,2014-07-01,2016.0,,,71.0,54.0,51.0,62.0,25.0,51.0,,,,,,,,53+6,58-2,34,57+1,38,60,47,34,40,64,74+9,69+4,63,57+22,69,56,44,47,59+7,47,36,21,56,54+6,54,,26,25,24,6,12,14,9,14,55+0,55+0,55+0,59+0,57+0,57+0,57+0,59+0,58+0,58+0,58+0,57+0,49+0,49+0,49+0,57+0,44+0,43+0,43+0,43+0,44+0,39+0,36+0,36+0,36+0,39+0
215864,https://sofifa.com/player/215864/joe-dodoo/15/157759,J. Dodoo,Joe Dodoo,19,1995-06-01,183,84,England,Leicester City,56,70,0,0,ST,Right,1,3,2,High/Medium,Normal,No,,,RES,46.0,,2013-05-01,2015.0,,,78.0,55.0,39.0,56.0,28.0,55.0,,,,,,,,33,60-1,52,44,35,58+11,41,29,28,49-2,77+2,78-3,69-1,48,55,60,54,60,65,47,25,25,57,47,45,,25,25,25,7,13,6,14,9,56+0,56+0,56+0,53+0,55+0,55+0,55+0,53+0,53+0,53+0,53+0,50+0,44+0,44+0,44+0,50+0,40+0,38+0,38+0,38+0,40+0,38+0,36+0,36+0,36+0,38+0
206263,https://sofifa.com/player/206263/tom-hopper/15/157759,T. Hopper,Tom Hopper,20,1993-12-14,186,76,England,Leicester City,56,64,0,0,ST,Right,1,3,2,Medium/Medium,Lean,No,,,RES,20.0,,2011-10-01,2016.0,,,60.0,57.0,41.0,52.0,28.0,54.0,,,,,,,,33,61+2,56,46,49+2,50,40,29,32,54,54,64,57,57+2,54,54+2,63,49,65,49+2,31,25,55+2,48,67,,25,25,25,14,11,6,6,12,56+0,56+0,56+0,50+0,54+0,54+0,54+0,50+0,52+0,52+0,52+0,48+0,45+0,45+0,45+0,48+0,40+0,40+0,40+0,40+0,40+0,38+0,38+0,38+0,38+0,38+0
176635,https://sofifa.com/player/176635/mesut-ozil/15/157759,M. Özil,Mesut Özil,25,1988-10-15,183,76,Germany,Arsenal,86,87,0,0,"CAM, LW",Left,3,2,4,Medium/Low,Lean,Yes,,"#Dribbler, #Playmaker  ",LW,11.0,,2013-09-02,2018.0,CAM,8.0,74.0,74.0,86.0,87.0,27.0,58.0,,,,,,,"Finesse Shot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",83,74+1,54,88,77,87,84,79,80,91,77-2,71,84-1,87+2,78,70+1,53,64,57+1,75,56,24,83-1,92,76,,22,25,25,6,14,10,6,14,76+1,76+1,76+1,84+1,80+1,80+1,80+1,84+1,85+1,85+1,85+1,84+1,76+1,76+1,76+1,84+1,59+1,62+1,62+1,62+1,59+1,51+1,44+1,44+1,44+1,51+1
184941,https://sofifa.com/player/184941/alexis-sanchez/15/157759,A. Sánchez,Alexis Alejandro Sánchez Sánchez,25,1988-12-19,171,62,Chile,Arsenal,84,88,0,0,"RW, ST",Right,3,3,4,High/Medium,Normal,Yes,,"#Dribbler, #Acrobat",RW,17.0,,2014-07-10,2019.0,RS,7.0,88.0,81.0,75.0,87.0,39.0,66.0,,,,,,,Flair,75,83+4,60+1,77,77+1,88+3,74,71+1,70,85+1,90+1,86,91,81,86,78+1,66,76,59-10,80+7,69,42,81-1,78,73,,30,39-3,35-1,10,10,15,12,13,80+1,80+1,80+1,83+1,81+1,81+1,81+1,83+1,82+1,82+1,82+1,81+1,74+1,74+1,74+1,81+1,63+1,63+1,63+1,63+1,63+1,58+1,51+1,51+1,51+1,58+1
146562,https://sofifa.com/player/146562/santiago-cazorla-gonzalez/15/157759,Santi Cazorla,Santiago Cazorla González,29,1984-12-13,168,66,Spain,Arsenal,84,84,0,0,"LM, CAM, RM",Right,3,5,4,Medium/Medium,Stocky,Yes,,"#Dribbler, #Acrobat",SUB,19.0,,2012-08-07,2017.0,SUB,20.0,73.0,78.0,85.0,87.0,31.0,61.0,,,,,,,"Flair, Long Shot Taker (CPU AI Only), Technical Dribbler (CPU AI Only)",83,77,58,86,67,87,86,82,84,86,79,68,86,85,91,78,71,65,60+1,82,55,34,82,85,75,,22,31,28,6,9,5,7,15,77+1,77+1,77+1,83+1,81+1,81+1,81+1,83+1,84+1,84+1,84+1,83+1,76+1,76+1,76+1,83+1,60+1,63+1,63+1,63+1,60+1,53+1,47+1,47+1,47+1,53+1
